ESTADO;CIDADE;NR_CANDIDATO;CARGO;NM_CANDIDATO;NM_URNA_CANDIDATO;SG_PARTIDO;GENERO;GRAU_INSTRUCAO;COR_RACA
CE;TIANGUÁ;40040;VEREADOR;JOSÉ MARIA DE ALBUQUERQUE;ZÉ MARIA ALBUQUERQUE;PSB;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
BA;SÍTIO DO QUINTO;70234;VEREADOR;JOSÉ MOISÉS DE CARVALHO;PROF. MOISÉS;AVANTE;MASCULINO;SUPERIOR COMPLETO;PARDA
CE;PIRES FERREIRA;11111;VEREADOR;JOSÉ MAURÍCIO SAMPAIO XIMENES;KIKO MOTOS;PP;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
SC;ZORTÉA;13113;VEREADOR;MARIAN CONCEIÇÃO SANTOS VIEIRA;MARIAN VIEIRA;PT;FEMININO;SUPERIOR COMPLETO;PARDA
MG;ITANHOMI;44111;VEREADOR;JOAREZ ANDRÉ CAETANO;JOAREZ CAETANO;UNIÃO;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
SP;SÃO CARLOS;20111;VEREADOR;ALESSANDRO SERRA QUEIROZ;ALE SERRA;PODE;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
PR;COLORADO;20222;VEREADOR;CLAUDINEI MESSIAS DA SILVA;NEY DO FRIGORÍFICO;PODE;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;BRANCA
SE;NOSSA SENHORA DAS DORES;20;VICE-PREFEITO;GERIVALDO FERREIRA DA SILVA;FERREIRA ;PP;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
GO;NOVA CRIXÁS;25333;VEREADOR;WANDYSCLE RIBEIRO DA SILVA;WANDYSCLÉ RIBEIRO;PRD;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
PA;INHANGAPI;44177;VEREADOR;EDERLANI MEIRELES DE SANTANA;EDERLANI SANTANA;UNIÃO;FEMININO;ENSINO MÉDIO COMPLETO;PARDA
BA;SALVADOR;70001;VEREADOR;BENÍCIO DOS SANTOS DA PUREZA;BENÍCIO PUREZA;AVANTE;MASCULINO;ENSINO MÉDIO COMPLETO;PRETA
MG;BRÁS PIRES;13555;VEREADOR;MARIA DO CARMO SOUZA DE PAIVA;DUCARMO DA MALACACHETA;PT;FEMININO;ENSINO MÉDIO COMPLETO;BRANCA
RS;DILERMANDO DE AGUIAR;10333;VEREADOR;REIMAR GONÇALVES CEZAR;NENEGO;REPUBLICANOS;MASCULINO;ENSINO MÉDIO INCOMPLETO;PARDA
BA;SEABRA;13113;VEREADOR;MARCIA APARECIDA FERREIRA DE SOUZA;MARCIA AMADA;PT;FEMININO;SUPERIOR COMPLETO;INDÍGENA
RS;VIAMÃO;45106;VEREADOR;DILAMAR DE JESUS SILVA;DILAMAR;PSDB;MASCULINO;SUPERIOR COMPLETO;BRANCA
RS;MATO LEITÃO;22122;VEREADOR;MARCELO ALVES;MARCELO ALVES;PL;MASCULINO;ENSINO MÉDIO COMPLETO;BRANCA
PE;SÃO JOSÉ DA COROA GRANDE;55333;VEREADOR;ENILDE LIMA OLIVEIRA;ENILDE DA COLONIA;PSD;FEMININO;ENSINO MÉDIO COMPLETO;PARDA
MG;CAXAMBU;25035;VEREADOR;RONE MORAIS SILVA;RONE SÓ BENÇÃO;PRD;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
SP;ITAQUAQUECETUBA;12123;VEREADOR;NILO FERNANDES DA CUNHA;NILO FERNANDES;PDT;MASCULINO;ENSINO MÉDIO COMPLETO;PARDA
